x,y,jarvis_20m,elevation
-159.998126145152,-0.35396726173275106,-495.3219909667969,250-500 m
-159.99794643424556,-0.3539672812038012,-496.6449890136719,250-500 m
-159.99776672332928,-0.35396730067134685,-497.9150085449219,250-500 m
-159.99758701240307,-0.35396732013538784,-496.9020080566406,250-500 m
-159.99740730146698,-0.3539673395959242,-497.2080078125,250-500 m
-159.99722759052105,-0.35396735905295595,-497.89599609375,250-500 m
-160.00136095918572,-0.3541478290388092,-498.72100830078125,250-500 m
-160.00118124845403,-0.35414784858292686,-497.4010009765625,250-500 m
-160.00100153771245,-0.3541478681235383,-492.5669860839844,250-500 m
-160.00082182696096,-0.3541478876606433,-491.5719909667969,250-500 m
-160.00064211619951,-0.35414790719424194,-490.93798828125,250-500 m
-160.0004624054282,-0.3541479267243342,-493.9460144042969,250-500 m
-160.00028269464696,-0.35414794625091994,-497.00299072265625,250-500 m
-160.0001029838558,-0.35414796577399943,-495.65899658203125,250-500 m
-159.99992327305478,-0.3541479852935723,-492.3890075683594,250-500 m
-159.9997435622438,-0.35414800480963893,-491.6990051269531,250-500 m
-159.99956385142295,-0.3541480243221991,-493.1310119628906,250-500 m
-159.99938414059218,-0.3541480438312529,-491.3110046386719,250-500 m
-159.9992044297515,-0.3541480633368002,-487.0419921875,250-500 m
-159.99902471890096,-0.35414808283884125,-489.4849853515625,250-500 m
-159.9988450080405,-0.35414810233737576,-491.95001220703125,250-500 m
-159.99866529717016,-0.3541481218324038,-491.4530029296875,250-500 m
-159.99848558628992,-0.3541481413239255,-491.87701416015625,250-500 m
-159.99830587539978,-0.35414816081194084,-488.32501220703125,250-500 m
-159.99812616449975,-0.3541481802964497,-483.9800109863281,250-500 m
-159.99794645358986,-0.3541481997774521,-484.0740051269531,250-500 m
-159.99776674267008,-0.3541482192549482,-485.11199951171875,250-500 m
-159.99758703174038,-0.3541482387289378,-484.2569885253906,250-500 m
-159.99740732080082,-0.35414825819942103,-484.44000244140625,250-500 m
-159.9972276098514,-0.35414827766639784,-486.5899963378906,250-500 m
-159.99704789889208,-0.3541482971298681,-489.93798828125,250-500 m
-159.99686818792287,-0.35414831658983204,-490.3559875488281,250-500 m
-159.99668847694383,-0.35414833604628954,-492.98199462890625,250-500 m
-159.99650876595487,-0.35414835549924056,-496.3810119628906,250-500 m
-159.99632905495605,-0.35414837494868523,-497.7640075683594,250-500 m
-159.9961493439474,-0.35414839439462353,-496.4849853515625,250-500 m
-159.99596963292885,-0.3541484138370553,-497.4209899902344,250-500 m
-160.00207982144747,-0.3543286691714985,-493.82000732421875,250-500 m
-160.001900110752,-0.3543286887396335,-491.7770080566406,250-500 m
-160.00172040004662,-0.3543287083042604,-490.8590087890625,250-500 m
-160.00154068933128,-0.35432872786537906,-490.0799865722656,250-500 m
-160.00136097860604,-0.3543287474229895,-487.4670104980469,250-500 m
-160.00118126787092,-0.3543287669770919,-485.0069885253906,250-500 m
-160.00100155712585,-0.35432878652768596,-479.2569885253906,250-500 m
-160.00082184637085,-0.35432880607477185,-480.8739929199219,250-500 m
-160.00064213560594,-0.35432882561834955,-480.22698974609375,250-500 m
-160.00046242483114,-0.35432884515841895,-479.6709899902344,250-500 m
-160.00028271404642,-0.35432886469498037,-484.04998779296875,250-500 m
-160.0001030032518,-0.35432888422803344,-484.6310119628906,250-500 m
-159.99992329244725,-0.3543289037575784,-481.59698486328125,250-500 m
-159.99974358163283,-0.3543289232836151,-480.1520080566406,250-500 m
-159.99956387080846,-0.35432894280614363,-481.2590026855469,250-500 m
-159.99938415997423,-0.3543289623251639,-480.06201171875,250-500 m
-159.99920444913008,-0.35432898184067607,-477.3940124511719,250-500 m
-159.99902473827603,-0.35432900135268,-478.2619934082031,250-500 m
-159.9988450274121,-0.3543290208611757,-480.2720031738281,250-500 m
-159.99866531653825,-0.35432904036616314,-479.74798583984375,250-500 m
-159.99848560565454,-0.3543290598676425,-478.5840148925781,250-500 m
-159.9983058947609,-0.3543290793656136,-474.7250061035156,250-500 m
